filename,num_nodes,num_arcs,num_conflicts,source,sink,max_flow_z,status,solve_time_sec
80_40_60_15_20.txt,80,2080,1916476,1,80,19,OTTIMALE,51.1923
80_50_30_10_15.txt,80,2497,1497366,1,80,39,OTTIMALE,831.5128
80_50_30_15_20.txt,80,2466,1497366,1,80,48,OTTIMALE,533.5294
80_50_40_10_15.txt,80,2496,1996488,1,80,28,OTTIMALE,88.849
80_50_40_15_20.txt,80,2490,1996488,1,80,50,OTTIMALE,76.5587
80_50_50_10_15.txt,80,2485,2495610,1,80,25,OTTIMALE,72.9173
80_50_50_15_20.txt,80,2521,2495610,1,80,31,OTTIMALE,74.798
80_50_60_10_15.txt,80,2457,2994732,1,80,23,OTTIMALE,70.2696
80_50_60_15_20.txt,80,2472,2994732,1,80,18,OTTIMALE,74.1722
80_60_30_10_15.txt,80,2851,2156320,1,80,43,OTTIMALE,1199.5763
80_60_30_15_20.txt,80,2887,2156320,1,80,52,OTTIMALE,1440.7897
80_60_40_10_15.txt,80,2865,2875094,1,80,26,OTTIMALE,152.9812
80_60_40_15_20.txt,80,2887,2875094,1,80,39,OTTIMALE,127.5447
80_60_50_10_15.txt,80,2887,3593868,1,80,28,OTTIMALE,89.6805
80_60_50_15_20.txt,80,2846,3593868,1,80,37,OTTIMALE,83.4363
80_60_60_10_15.txt,80,2829,4312641,1,80,15,OTTIMALE,88.5231
80_60_60_15_20.txt,80,2859,4312641,1,80,20,OTTIMALE,90.0236
